CID,MolecularFormula,CanonicalSMILES,InChI,InChIKey,IUPACName,nm_unique
96196,C9H10O3,C1CC2CC1C3C2C(=O)OC3=O,"InChI=1S/C9H10O3/c10-8-6-4-1-2-5(3-4)7(6)9(11)12-8/h4-7H,1-3H2",LQOPXMZSGSTGMF-UHFFFAOYSA-N,"4-oxatricyclo[5.2.1.02,6]decane-3,5-dione","4-Oxatricyclo[5.2.1.02,6]decane-3,5-dione"
8326,C8Cl4O3,C12=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C(=O)OC2=O,InChI=1S/C8Cl4O3/c9-3-1-2(8(14)15-7(1)13)4(10)6(12)5(3)11,AUHHYELHRWCWEZ-UHFFFAOYSA-N,"4,5,6,7-tetrachloro-2-benzofuran-1,3-dione","4,5,6,7-Tetrachloro-2-benzofuran-1,3-dione"
78218,C8H2Cl2O3,C1=CC(=C2C(=C1Cl)C(=O)OC2=O)Cl,InChI=1S/C8H2Cl2O3/c9-3-1-2-4(10)6-5(3)7(11)13-8(6)12/h1-2H,HEGLMCPFDADCAQ-UHFFFAOYSA-N,"4,7-dichloro-2-benzofuran-1,3-dione","4,7-Dichloro-2-benzofuran-1,3-dione"
76247,C7H10O3,CC1(CCC(=O)OC1=O)C,"InChI=1S/C7H10O3/c1-7(2)4-3-5(8)10-6(7)9/h3-4H2,1-2H3",PAVNZLVXYJDFNR-UHFFFAOYSA-N,"3,3-dimethyloxane-2,6-dione","3,3-Dimethyldihydro-2H-pyran-2,6(3H)-dione"
8060,C5H13N,CCCCCN,"InChI=1S/C5H13N/c1-2-3-4-5-6/h2-6H2,1H3",DPBLXKKOBLCELK-UHFFFAOYSA-N,pentan-1-amine,Pentan-1-amine
7908,C6H15N,CC(C)CC(C)N,"InChI=1S/C6H15N/c1-5(2)4-6(3)7/h5-6H,4,7H2,1-3H3",UNBMPKNTYKDYCG-UHFFFAOYSA-N,4-methylpentan-2-amine,4-Methylpentan-2-amine
15659773,C7H15NO4,C1C(C(C(C(C1O)N)O)O)CO,"InChI=1S/C7H15NO4/c8-5-4(10)1-3(2-9)6(11)7(5)12/h3-7,9-12H,1-2,8H2",PFDAVRXLZIYAFH-UHFFFAOYSA-N,"3-amino-6-(hydroxymethyl)cyclohexane-1,2,4-triol","3-Amino-6-(hydroxymethyl)cyclohexane-1,2,4-triol"
8102,C6H15N,CCCCCCN,"InChI=1S/C6H15N/c1-2-3-4-5-6-7/h2-7H2,1H3",BMVXCPBXGZKUPN-UHFFFAOYSA-N,hexan-1-amine,Hexan-1-amine
6385,C4H11N,CC(C)(C)N,"InChI=1S/C4H11N/c1-4(2,3)5/h5H2,1-3H3",YBRBMKDOPFTVDT-UHFFFAOYSA-N,2-methylpropan-2-amine,2-Methylpropan-2-amine
6558,C4H11N,CC(C)CN,"InChI=1S/C4H11N/c1-4(2)3-5/h4H,3,5H2,1-2H3",KDSNLYIMUZNERS-UHFFFAOYSA-N,2-methylpropan-1-amine,2-Methylpropan-1-amine
79882,C5H13N,CC(C)(C)CN,"InChI=1S/C5H13N/c1-5(2,3)4-6/h4,6H2,1-3H3",XDIAMRVROCPPBK-UHFFFAOYSA-N,"2,2-dimethylpropan-1-amine","2,2-Dimethylpropan-1-amine"
7894,C5H13N,CC(C)CCN,"InChI=1S/C5H13N/c1-5(2)3-4-6/h5H,3-4,6H2,1-2H3",BMFVGAAISNGQNM-UHFFFAOYSA-N,3-methylbutan-1-amine,3-Methylbutan-1-amine
12019,C5H13N,CCC(CC)N,"InChI=1S/C5H13N/c1-3-5(6)4-2/h5H,3-4,6H2,1-2H3",PQPFFKCJENSZKL-UHFFFAOYSA-N,pentan-3-amine,Pentan-3-amine
68986,C5H13N,CCC(C)(C)N,"InChI=1S/C5H13N/c1-4-5(2,3)6/h4,6H2,1-3H3",GELMWIVBBPAMIO-UHFFFAOYSA-N,2-methylbutan-2-amine,2-Methylbutan-2-amine
3301,C2H8N2,C(CN)N,InChI=1S/C2H8N2/c3-1-2-4/h1-4H2,PIICEJLVQHRZGT-UHFFFAOYSA-N,"ethane-1,2-diamine","Ethane-1,2-diamine"
17386,C15H33N,CCCCCCCCCCCCCCCN,"InChI=1S/C15H33N/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16/h2-16H2,1H3",JPZYXGPCHFZBHO-UHFFFAOYSA-N,pentadecan-1-amine,Pentadecan-1-amine
428,C3H10N2,C(CN)CN,InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2,XFNJVJPLKCPIBV-UHFFFAOYSA-N,"propane-1,3-diamine","Propane-1,3-diamine"
1045,C4H12N2,C(CCN)CN,InChI=1S/C4H12N2/c5-3-1-2-4-6/h1-6H2,KIDHWZJUCRJVML-UHFFFAOYSA-N,"butane-1,4-diamine","Butane-1,4-diamine"
16402,C6H16N2,C(CCCN)CCN,InChI=1S/C6H16N2/c7-5-3-1-2-4-6-8/h1-8H2,NAQMVNRVTILPCV-UHFFFAOYSA-N,"hexane-1,6-diamine","Hexane-1,6-diamine"
7719,C8H19N,CCCCC(CC)CN,"InChI=1S/C8H19N/c1-3-5-6-8(4-2)7-9/h8H,3-7,9H2,1-2H3",LTHNHFOGQMKPOV-UHFFFAOYSA-N,2-ethylhexan-1-amine,2-Ethylhexan-1-amine
8926,C16H35N,CCCCCCCCCCCCCCCCN,"InChI=1S/C16H35N/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17/h2-17H2,1H3",FJLUATLTXUNBOT-UHFFFAOYSA-N,hexadecan-1-amine,1-Hexadecylamine
5603,C7H17N,CCCCCC(C)N,"InChI=1S/C7H17N/c1-3-4-5-6-7(2)8/h7H,3-6,8H2,1-2H3",VSRBKQFNFZQRBM-UHFFFAOYSA-N,heptan-2-amine,Heptan-2-amine
16217,C14H31N,CCCCCCCCCCCCCCN,"InChI=1S/C14H31N/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15/h2-15H2,1H3",PLZVEHJLHYMBBY-UHFFFAOYSA-N,tetradecan-1-amine,Tetradecan-1-amine
8111,C4H13N3,C(CNCCN)N,"InChI=1S/C4H13N3/c5-1-3-7-4-2-6/h7H,1-6H2",RPNUMPOLZDHAAY-UHFFFAOYSA-N,"N'-(2-aminoethyl)ethane-1,2-diamine","N-(2-Aminoethyl)ethane-1,2-diamine"
86625,C11H19N,C1C2CC3CC1CC(C2)(C3)CN,"InChI=1S/C11H19N/c12-7-11-4-8-1-9(5-11)3-10(2-8)6-11/h8-10H,1-7,12H2",XSOHXMFFSKTSIT-UHFFFAOYSA-N,1-adamantylmethanamine,"Tricyclo[3.3.1.13,7]decane-1-methanamine"
681,C8H11NO2,C1=CC(=C(C=C1CCN)O)O,"InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2",VYFYYTLLBUKUHU-UHFFFAOYSA-N,"4-(2-aminoethyl)benzene-1,2-diol","4-(2-Aminoethyl)benzene-1,2-diol"
