CID,MolecularFormula,CanonicalSMILES,InChI,InChIKey,IUPACName,nm_unique
112762823,C17H14ClF3N2O2,CC(C(=O)NC1=CC=CC(=C1)C(F)(F)F)NC(=O)C2=CC=C(C=C2)Cl,"InChI=1S/C17H14ClF3N2O2/c1-10(22-16(25)11-5-7-13(18)8-6-11)15(24)23-14-4-2-3-12(9-14)17(19,20)21/h2-10H,1H3,(H,22,25)(H,23,24)",FKRAICHLVMHBKL-UHFFFAOYSA-N,4-chloro-N-[1-oxo-1-[3-(trifluoromethyl)anilino]propan-2-yl]benzamide,CC(NC(=O)c1ccc(Cl)cc1)C(=O)Nc2cccc(C(F)(F)F)c2
3393128,C16H15F3N2O3S,CC(C(=O)NC1=CC=CC(=C1)C(F)(F)F)NS(=O)(=O)C2=CC=CC=C2,"InChI=1S/C16H15F3N2O3S/c1-11(21-25(23,24)14-8-3-2-4-9-14)15(22)20-13-7-5-6-12(10-13)16(17,18)19/h2-11,21H,1H3,(H,20,22)",ACZQZTOFAIRAJP-UHFFFAOYSA-N,2-(benzenesulfonamido)-N-[3-(trifluoromethyl)phenyl]propanamide,CC(NS(=O)(=O)c1ccccc1)C(=O)Nc2cccc(C(F)(F)F)c2
222,H3N,N,InChI=1S/H3N/h1H3,QGZKDVFQNNGYKY-UHFFFAOYSA-N,azane,N -acetylcysteine
243,C7H6O2,C1=CC=C(C=C1)C(=O)O,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",WPYMKLBDIGXBTP-UHFFFAOYSA-N,benzoic acid,c1cccc(c1)C(O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(NC(=O)OC1c2c(c3c1cccc3)cccc2)C(=O)O)=O
21805890,C16H15NO4,C1=CC=C(C=C1)C(=O)OC2=CC=C(C=C2)CC(C(=O)O)N,"InChI=1S/C16H15NO4/c17-14(15(18)19)10-11-6-8-13(9-7-11)21-16(20)12-4-2-1-3-5-12/h1-9,14H,10,17H2,(H,18,19)",SYGLLRRQBPFCKS-UHFFFAOYSA-N,2-amino-3-(4-benzoyloxyphenyl)propanoic acid,c1cccc(c1)C(Oc1ccc(cc1)CC(N)C(=O)O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NCCCC)=O)NC(OC1c2c(cccc2)c2c1cccc2)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(N(CCCC)CCCC)=O)NC(OC1c2c(cccc2)c2c1cccc2)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NC1CCCCC1)=O)NC(OC1c2c(cccc2)c2c1cccc2)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1ccccc1)=O)NC(OC1c2c(cccc2)c2c1cccc2)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NCc1ccccc1)=O)NC(OC1c2c(cccc2)c2c1cccc2)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(N1CCCC1)=O)NC(OC1c2c(cccc2)c2c1cccc2)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1ccc(C(=O)OCC)cc1)=O)NC(OC1c2c(cccc2)c2c1cccc2)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1cccc(c1)C(F)(F)F)=O)NC(OC1c2c(cccc2)c2c1cccc2)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NCCCC)=O)N[H])=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(N(CCCC)CCCC)=O)N[H])=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NC1CCCCC1)=O)N[H])=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1ccccc1)=O)N[H])=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NCc1ccccc1)=O)N[H])=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(N1CCCC1)=O)N[H])=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1ccc(C(=O)OCC)cc1)=O)N[H])=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1cccc(c1)C(F)(F)F)=O)N[H])=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NCCCC)=O)NC(C)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NCCCC)=O)NC(c1ccccc1)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NCCCC)=O)NC(Cc1ccccc1)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NCCCC)=O)NC(c1cc(ccc1)[N+](=O)[O-])=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NCCCC)=O)NC(c1ccc(cc1)Cl)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NCCCC)=O)NS(c1ccccc1)(=O)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NCCCC)=O)NS(c1ccc(cc1)C)(=O)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NCCCC)=O)NS(c1cccc(c1)[N+](=O)[O-])(=O)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(N(CCCC)CCCC)=O)NC(C)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(N(CCCC)CCCC)=O)NC(c1ccccc1)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(N(CCCC)CCCC)=O)NC(Cc1ccccc1)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(N(CCCC)CCCC)=O)NC(c1cc(ccc1)[N+](=O)[O-])=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(N(CCCC)CCCC)=O)NC(c1ccc(cc1)Cl)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(N(CCCC)CCCC)=O)NS(c1ccccc1)(=O)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(N(CCCC)CCCC)=O)NS(c1ccc(cc1)C)(=O)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(N(CCCC)CCCC)=O)NS(c1cccc(c1)[N+](=O)[O-])(=O)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NC1CCCCC1)=O)NC(C)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NC1CCCCC1)=O)NC(c1ccccc1)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NC1CCCCC1)=O)NC(Cc1ccccc1)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NC1CCCCC1)=O)NC(c1cc(ccc1)[N+](=O)[O-])=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NC1CCCCC1)=O)NC(c1ccc(cc1)Cl)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NC1CCCCC1)=O)NS(c1ccccc1)(=O)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NC1CCCCC1)=O)NS(c1ccc(cc1)C)(=O)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NC1CCCCC1)=O)NS(c1cccc(c1)[N+](=O)[O-])(=O)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1ccccc1)=O)NC(C)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1ccccc1)=O)NC(c1ccccc1)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1ccccc1)=O)NC(Cc1ccccc1)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1ccccc1)=O)NC(c1cc(ccc1)[N+](=O)[O-])=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1ccccc1)=O)NC(c1ccc(cc1)Cl)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1ccccc1)=O)NS(c1ccccc1)(=O)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1ccccc1)=O)NS(c1ccc(cc1)C)(=O)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1ccccc1)=O)NS(c1cccc(c1)[N+](=O)[O-])(=O)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NCc1ccccc1)=O)NC(C)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NCc1ccccc1)=O)NC(c1ccccc1)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NCc1ccccc1)=O)NC(Cc1ccccc1)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NCc1ccccc1)=O)NC(c1cc(ccc1)[N+](=O)[O-])=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NCc1ccccc1)=O)NC(c1ccc(cc1)Cl)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NCc1ccccc1)=O)NS(c1ccccc1)(=O)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NCc1ccccc1)=O)NS(c1ccc(cc1)C)(=O)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(NCc1ccccc1)=O)NS(c1cccc(c1)[N+](=O)[O-])(=O)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(N1CCCC1)=O)NC(C)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(N1CCCC1)=O)NC(c1ccccc1)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(N1CCCC1)=O)NC(Cc1ccccc1)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(N1CCCC1)=O)NC(c1cc(ccc1)[N+](=O)[O-])=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(N1CCCC1)=O)NC(c1ccc(cc1)Cl)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(N1CCCC1)=O)NS(c1ccccc1)(=O)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(N1CCCC1)=O)NS(c1ccc(cc1)C)(=O)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(N1CCCC1)=O)NS(c1cccc(c1)[N+](=O)[O-])(=O)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1ccc(C(=O)OCC)cc1)=O)NC(C)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1ccc(C(=O)OCC)cc1)=O)NC(c1ccccc1)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1ccc(C(=O)OCC)cc1)=O)NC(Cc1ccccc1)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1ccc(C(=O)OCC)cc1)=O)NC(c1cc(ccc1)[N+](=O)[O-])=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1ccc(C(=O)OCC)cc1)=O)NC(c1ccc(cc1)Cl)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1ccc(C(=O)OCC)cc1)=O)NS(c1ccccc1)(=O)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1ccc(C(=O)OCC)cc1)=O)NS(c1ccc(cc1)C)(=O)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1ccc(C(=O)OCC)cc1)=O)NS(c1cccc(c1)[N+](=O)[O-])(=O)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1cccc(c1)C(F)(F)F)=O)NC(C)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1cccc(c1)C(F)(F)F)=O)NC(c1ccccc1)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1cccc(c1)C(F)(F)F)=O)NC(Cc1ccccc1)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1cccc(c1)C(F)(F)F)=O)NC(c1cc(ccc1)[N+](=O)[O-])=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1cccc(c1)C(F)(F)F)=O)NC(c1ccc(cc1)Cl)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1cccc(c1)C(F)(F)F)=O)NS(c1ccccc1)(=O)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1cccc(c1)C(F)(F)F)=O)NS(c1ccc(cc1)C)(=O)=O)=O
0,,,,,,c1cccc(c1)C(Oc1ccc(cc1)CC(C(Nc1cccc(c1)C(F)(F)F)=O)NS(c1cccc(c1)[N+](=O)[O-])(=O)=O)=O
