CID,MolecularFormula,IsomericSMILES,InChI,InChIKey,IUPACName,nm_unique
19385199,Cu2O,O=[Cu].[Cu],InChI=1S/2Cu.O,BERDEBHAJNAUOM-UHFFFAOYSA-N,copper;oxocopper,Cu2O
20394915,Ag2O,O=[Ag].[Ag],InChI=1S/2Ag.O,KHJDQHIZCZTCAE-UHFFFAOYSA-N,oxosilver;silver,Ag2O
20439630,As2O5,[O-2].[O-2].[O-2].[O-2].[O-2].[As+5].[As+5],InChI=1S/2As.5O/q2*+5;5*-2,NFNWLFYAYMNVKM-UHFFFAOYSA-N,arsenic(5+);oxygen(2-),As2O5
20597791,MnO3-6,[O-2].[O-2].[O-2].[Mn],InChI=1S/Mn.3O/q;3*-2,UYUSJNUYZLTWRY-UHFFFAOYSA-N,manganese;oxygen(2-),MnO3
20975639,Co3O4-2,[O-2].[O-2].[O-2].[O-2].[Co+2].[Co+2].[Co+2],InChI=1S/3Co.4O/q3*+2;4*-2,VBAPCNMUWGOCPN-UHFFFAOYSA-N,cobalt(2+);oxygen(2-),Co3O4
21256123,Cr2O3,O=[Cr](=O)=O.[Cr],InChI=1S/2Cr.3O,QDOXWKRWXJOMAK-UHFFFAOYSA-N,chromium;trioxochromium,Cr2O3
21930463,CdS-2,[S-2].[Cd],InChI=1S/Cd.S/q;-2,HHBCCYZRNXHDOM-UHFFFAOYSA-N,cadmium;sulfide,CdS
22138154,Fe3O4-2,[O-2].[O-2].[O-2].[O-2].[Fe+2].[Fe+2].[Fe+2],InChI=1S/3Fe.4O/q3*+2;4*-2,IPPLQKQIHURHHK-UHFFFAOYSA-N,iron(2+);oxygen(2-),Fe3O4
22644374,OTl2,[O-2].[Tl+].[Tl+],InChI=1S/O.2Tl/q-2;2*+1,WKMKTIVRRLOHAJ-UHFFFAOYSA-N,oxygen(2-);thallium(1+),Tl2O
23083748,Si+3,[Si+3],InChI=1S/Si/q+3,SATIFLZDWYYRRT-UHFFFAOYSA-N,silicon(3+),Si
25008869,O2Si,[O-2].[O-2].[Si+4],InChI=1S/2O.Si/q2*-2;+4,ZMBYZFXRKKDSCM-UHFFFAOYSA-N,oxygen(2-);silicon(4+),SiO2
25087137,Fe2O4Zn,[O-2].[O-2].[O-2].[O-2].[Fe+3].[Fe+3].[Zn+2],InChI=1S/2Fe.4O.Zn/q2*+3;4*-2;+2,CPYIZQLXMGRKSW-UHFFFAOYSA-N,zinc;iron(3+);oxygen(2-),ZnFe2O4
25087149,Ga,[62Ga],InChI=1S/Ga/i1-8,GYHNNYVSQQEPJS-QQVBLGSISA-N,gallium-62,Ga
25087150,Fe,[58Fe],InChI=1S/Fe/i1+2,XEEYBQQBJWHFJM-NJFSPNSNSA-N,iron-58,Fe
25087153,Fe,[51Fe],InChI=1S/Fe/i1-5,XEEYBQQBJWHFJM-FTXFMUIASA-N,iron-51,Fe
25087154,Ce,[142Ce],InChI=1S/Ce/i1+2,GWXLDORMOJMVQZ-NJFSPNSNSA-N,cerium-142,Ce
25087162,Sn,[115Sn],InChI=1S/Sn/i1-4,ATJFFYVFTNAWJD-AHCXROLUSA-N,tin-115,Sn
25087164,Ce,[140Ce],InChI=1S/Ce/i1+0,GWXLDORMOJMVQZ-IGMARMGPSA-N,cerium-140,Ce
25087165,Ti,[47Ti],InChI=1S/Ti/i1-1,RTAQQCXQSZGOHL-BJUDXGSMSA-N,titanium-47,Ti
25087177,Nd,[143Nd],InChI=1S/Nd/i1-1,QEFYFXOXNSNQGX-BJUDXGSMSA-N,neodymium-143,Nd
25087182,Nd,[145Nd],InChI=1S/Nd/i1+1,QEFYFXOXNSNQGX-OUBTZVSYSA-N,neodymium-145,Nd
25087183,V,[52V],InChI=1S/V/i1+1,LEONUFNNVUYDNQ-OUBTZVSYSA-N,vanadium-52,V
25087187,Au,[196Au],InChI=1S/Au/i1-1,PCHJSUWPFVWCPO-BJUDXGSMSA-N,gold-196,Au
25153738,Ce,[146Ce],InChI=1S/Ce/i1+6,GWXLDORMOJMVQZ-LZFNBGRKSA-N,cerium-146,Ce
25195420,Ti,[51Ti],InChI=1S/Ti/i1+3,RTAQQCXQSZGOHL-AKLPVKDBSA-N,titanium-51,Ti
25195421,CdTe,[Cd].[Te],InChI=1S/Cd.Te,RPPBZEBXAAZZJH-UHFFFAOYSA-N,cadmium;tellurium,CdTe
42624151,Sn,[116Sn],InChI=1S/Sn/i1-3,ATJFFYVFTNAWJD-OIOBTWANSA-N,tin-116,Sn
42626439,Sn,[120Sn],InChI=1S/Sn/i1+1,ATJFFYVFTNAWJD-OUBTZVSYSA-N,tin-120,Sn
42626440,Y+3,[90Y+3],InChI=1S/Y/q+3/i1+1,GRTBAGCGDOYUBE-OUBTZVSYSA-N,yttrium-90(3+),Y
42626465,Au,[197Au],InChI=1S/Au/i1+0,PCHJSUWPFVWCPO-IGMARMGPSA-N,gold-197,Au
42626467,V,[51V],InChI=1S/V/i1+0,LEONUFNNVUYDNQ-IGMARMGPSA-N,vanadium-51,V
42628832,La,[139La],InChI=1S/La/i1+0,FZLIPJUXYLNCLC-IGMARMGPSA-N,lanthanum-139,La
42636441,Cu,[63Cu],InChI=1S/Cu/i1-1,RYGMFSIKBFXOCR-BJUDXGSMSA-N,copper-63,Cu
44140602,Y,[99Y],InChI=1S/Y/i1+10,VWQVUPCCIRVNHF-UOEDLBSCSA-N,yttrium-99,Y
44144625,O2Ti-,[O-][O].[Ti],InChI=1S/HO2.Ti/c1-2;/h1H;/p-1,ANOAOWNPTREFAS-UHFFFAOYSA-M,,TiO2
44144790,Zn,[67Zn],InChI=1S/Zn/i1+2,HCHKCACWOHOZIP-NJFSPNSNSA-N,zinc-67,Zn
44146792,CeO2,[O-2].[O-2].[144Ce+4],InChI=1S/Ce.2O/q+4;2*-2/i1+4;;,OFJATJUUUCAKMK-WUNIIZMUSA-N,cerium-144(4+);oxygen(2-),CeO2
44149370,Fe2O3,[O-2].[O-2].[O-2].[59Fe+3].[59Fe+3],InChI=1S/2Fe.3O/q2*+3;3*-2/i2*1+3;;;,LIKBJVNGSGBSGK-BICBLTJXSA-N,iron-59(3+);oxygen(2-),Fe2O3
44150586,Fe,[54Fe],InChI=1S/Fe/i1-2,XEEYBQQBJWHFJM-YPZZEJLDSA-N,iron-54,Fe
44151867,Cr,[52Cr],InChI=1S/Cr/i1+0,VYZAMTAEIAYCRO-IGMARMGPSA-N,chromium-52,Cr
44152085,Cu,[65Cu],InChI=1S/Cu/i1+1,RYGMFSIKBFXOCR-OUBTZVSYSA-N,copper-65,Cu
44152648,Ga,[71Ga],InChI=1S/Ga/i1+1,GYHNNYVSQQEPJS-OUBTZVSYSA-N,gallium-71,Ga
